Description,Category
Scanner reel misaligned,Hydraulic Failure
Items getting stuck in scanner spool,Mechanical Failure
Burnt capacitor detected in control board,Software Failure
Robot arm movement inaccurate,Leak
Calibration lost after system reboot,Leak
Software controller crashed during cycle,Leak
Burnt capacitor detected in control board,Electrical Failure
Cooling system not circulating coolant,Hydraulic Failure
Items getting stuck in scanner spool,Leak
Machine vibration increasing over time,Leak
Temperature sensor not responding,Hydraulic Failure
Machine vibration increasing over time,Software Failure
Pressure valve releasing steam,Leak
Motor overheating after long use,Sensor Failure
Production line halted unexpectedly,Mechanical Failure
Machine vibration increasing over time,Leak
Burnt capacitor detected in control board,Calibration Issue
Motor overheating after long use,Hydraulic Failure
Robot arm movement inaccurate,Software Failure
Burnt capacitor detected in control board,Mechanical Failure
Hydraulic pressure dropping rapidly,Leak
Pressure valve releasing steam,Hydraulic Failure
Motor overheating after long use,Leak
Scanner reel misaligned,Calibration Issue
Cooling fan stopped during operation,Electrical Failure
Electrical panel short circuit detected,Hydraulic Failure
Calibration lost after system reboot,Leak
Burnt capacitor detected in control board,Sensor Failure
Machine vibration increasing over time,Overheating
Pressure valve releasing steam,Sensor Failure
Machine vibration increasing over time,Software Failure
Conveyor belt dropping items,Software Failure
Hydraulic pressure dropping rapidly,Software Failure
Items getting stuck in scanner spool,Mechanical Failure
Unexpected power shutdown during startup,Sensor Failure
Control panel restarting randomly,Mechanical Failure
Software controller crashed during cycle,Calibration Issue
Machine vibration increasing over time,Calibration Issue
Pressure valve releasing steam,Mechanical Failure
Items getting stuck in scanner spool,Sensor Failure
Machine vibration increasing over time,Sensor Failure
Temperature sensor not responding,Mechanical Failure
Production line halted unexpectedly,Hydraulic Failure
Pressure valve releasing steam,Leak
Motor overheating after long use,Hydraulic Failure
Pressure valve releasing steam,Hydraulic Failure
Cooling system not circulating coolant,Overheating
Calibration lost after system reboot,Electrical Failure
Control panel restarting randomly,Hydraulic Failure
Control panel restarting randomly,Sensor Failure
Software controller crashed during cycle,Sensor Failure
Oil leak near main pump,Mechanical Failure
Robot arm movement inaccurate,Leak
Oil leak near main pump,Hydraulic Failure
Control panel restarting randomly,Overheating
Items getting stuck in scanner spool,Overheating
Scanner reel misaligned,Hydraulic Failure
Cooling fan stopped during operation,Leak
Machine vibration increasing over time,Mechanical Failure
Machine vibration increasing over time,Sensor Failure
Cooling system not circulating coolant,Calibration Issue
Items getting stuck in scanner spool,Overheating
Machine vibration increasing over time,Electrical Failure
Pressure valve releasing steam,Sensor Failure
Loud rattling noise from assembler piston,Electrical Failure
